CCL2	TNF	0.0125
CCL2	POSTN	0.05
CCL2	ELMOD2	0.0125
CCL2	CXCL1	0.145
MMP7	PDGFA	0.0125
MMP7	MMP9	0.0125
MMP7	SMAD2	0.0125
MMP7	MUC1	0.05
MMP7	VCAM1	0.0125
MMP7	TNF	0.0125
CXCL8	CXCR3	0.18
CXCL8	IL1B	0.025
CXCL8	IL13	0.0625
CXCL8	DDR1	0.025
CXCL8	PDGFA	0.0125
CXCL8	SERPINH1	0.0625
CXCL8	EDN1	0.3
CXCL8	CXCL9	0.0125
CXCL8	MMP9	0.025
CXCL8	TIMP1	0.1175
CXCL8	PDGFB	0.1625
CXCL8	FASLG	0.1125
CXCL8	MMP1	0.025
CXCL8	FGF2	0.075
CXCL8	SCGB1A1	0.1
CXCL8	FGF7	0.1
CXCL8	CXCR2	0.0625
CXCL8	IL1RN	0.05
CXCL8	IGFBP5	0.075
CXCL8	IL1R1	0.0125
CXCL8	SPP1	0.175
CXCL8	IL1A	0.0625
CXCL8	FHIT	0.1
CXCL8	SMAD2	0.05
CXCL8	MUC1	0.025
CXCL8	SMAD3	0.0875
CXCL8	CXCR1	0.1725
CXCL8	TGFBR1	0.0875
CXCL8	VCAM1	0.075
CXCL8	TNF	0.0125
CXCL8	TOLLIP	0.0625
CXCL8	NLRC4	0.0125
CXCL8	POSTN	0.1125
CXCL8	ELMOD2	0.025
CXCR3	IL13	0.05
CXCR3	SERPINH1	0.1
CXCR3	EDN1	0.05
CXCR3	FASLG	0.05
CXCR3	SCGB1A1	0.1
CXCR3	IL1RN	0.05
CXCR3	IGFBP5	0.1
CXCR3	SPP1	0.1
CXCR3	FHIT	0.05
CXCR3	SPARC	0.05
CXCR3	VCAM1	0.05
CXCR3	POSTN	0.05
IL1B	SERPINH1	0.05
IL1B	MMP9	0.225
IL1B	PDGFB	0.0125
IL1B	SFTPB	0.05
IL1B	MUC1	0.0125
IL1B	TGFBR1	0.0125
IL1B	TNF	0.0625
CCL22	DDR1	0.075
CCL22	IFNG	0.0125
CCL22	SERPINH1	0.0375
CCL22	CXCL9	0.0125
CCL22	TIMP1	0.025
CCL22	PDGFB	0.0125
CCL22	FASLG	0.0125
CCL22	FGF2	0.0625
CCL22	IGFBP5	0.1
CCL22	CCL5	0.0125
CCL22	SPP1	0.0125
CCL22	SFTPB	0.0125
CCL22	IL1A	0.05
CCL22	CCR4	0.0375
CCL22	SMAD2	0.0125
CCL22	CCR7	0.05
CCL22	TGFBR1	0.025
CCL22	CD36	0.0125
CCL22	CDH1	0.0125
CCL22	VCAM1	0.1875
CCL22	TNF	0.0125
CCL22	TOLLIP	0.075
CCL17	IGFBP5	0.0125
CCL17	CCL5	0.08
CCL17	CCR4	0.0125
CCL17	SMAD2	0.0125
CCL17	TGFBR1	0.0125
CCL17	NOX4	0.0125
CCL17	CXCL1	0.04
IL13	PDGFA	0.0125
IL13	SERPINH1	0.05
IL13	PDGFB	0.0625
IL13	IL1A	0.05
IL13	SMAD2	0.0125
IL13	SPARC	0.05
IL13	TGFBR1	0.05
IL13	POSTN	0.0125
DDR1	PDGFA	0.08
DDR1	SERPINH1	0.05
DDR1	EDN1	0.025
DDR1	PDGFB	0.1275
DDR1	IGFBP5	0.05
DDR1	SPP1	0.0125
DDR1	IL1A	0.0125
DDR1	SMAD2	0.0125
DDR1	MUC1	0.0125
DDR1	SMAD3	0.0375
DDR1	SPARC	0.08
DDR1	TGFBR1	0.025
DDR1	VCAM1	0.1
DDR1	TOLLIP	0.05
DDR1	NLRC4	0.0125
DDR1	POSTN	0.05
PDGFA	SERPINH1	0.025
PDGFA	PDGFB	0.065
PDGFA	SPARC	0.1725
PDGFA	TGFBR1	0.0125
PDGFA	VCAM1	0.1725
IFNG	SERPINH1	0.025
IFNG	IL18	0.0625
IFNG	MMP9	0.025
